date,price,open,high,low,vol,change
2018-03-14,947.83 ,1053.72 ,1070.61 ,917.00 ,101.08K,-10.05%
2018-03-13,1053.71 ,1050.25 ,1099.32 ,996.06 ,108.31K,0.31%
2018-03-12,1050.42 ,1139.35 ,1150.32 ,1013.22 ,86.59K,-7.78%
2018-03-11,1139.03 ,1003.70 ,1154.85 ,971.28 ,101.82K,13.46%
2018-03-10,1003.87 ,1064.57 ,1086.79 ,992.08 ,69.21K,-5.70%
2018-03-09,1064.57 ,1033.80 ,1074.87 ,928.28 ,120.92K,2.96%
2018-03-08,1034.00 ,1094.02 ,1114.68 ,1001.15 ,91.13K,-5.27%
2018-03-07,1091.50 ,1203.50 ,1218.46 ,1038.64 ,96.91K,-9.31%
2018-03-06,1203.52 ,1264.10 ,1264.10 ,1174.28 ,62.18K,-4.86%
2018-03-05,1265.00 ,1284.24 ,1288.20 ,1265.00 ,45.91K,-1.52%
2018-03-04,1284.58 ,1268.34 ,1287.91 ,1224.13 ,49.21K,1.28%
2018-03-03,1268.36 ,1272.60 ,1295.14 ,1256.82 ,49.39K,-0.31%
2018-03-02,1272.28 ,1284.55 ,1301.94 ,1252.85 ,58.13K,-0.92%
2018-03-01,1284.16 ,1200.38 ,1300.70 ,1190.28 ,76.90K,6.98%
2018-02-28,1200.36 ,1234.15 ,1273.97 ,1199.16 ,58.36K,-2.77%
2018-02-27,1234.56 ,1244.34 ,1293.64 ,1220.88 ,60.58K,-0.78%
2018-02-26,1244.24 ,1173.18 ,1268.40 ,1143.24 ,69.76K,6.07%
2018-02-25,1173.04 ,1182.36 ,1202.93 ,1137.93 ,49.45K,-0.80%
2018-02-24,1182.46 ,1256.19 ,1299.42 ,1137.28 ,69.42K,-5.92%
2018-02-23,1256.87 ,1208.34 ,1312.58 ,1149.52 ,89.72K,4.01%
2018-02-22,1208.39 ,1287.11 ,1341.28 ,1177.48 ,88.67K,-6.14%
2018-02-21,1287.39 ,1395.00 ,1407.37 ,1268.80 ,114.48K,-7.67%
2018-02-20,1394.40 ,1520.33 ,1553.06 ,1386.43 ,92.03K,-8.28%
2018-02-19,1520.29 ,1453.38 ,1543.12 ,1452.40 ,59.33K,4.65%
2018-02-18,1452.78 ,1541.07 ,1631.95 ,1396.20 ,118.96K,-5.72%
2018-02-17,1540.88 ,1530.02 ,1552.86 ,1502.32 ,71.10K,0.69%
2018-02-16,1530.26 ,1358.61 ,1545.17 ,1355.32 ,144.71K,12.64%
2018-02-15,1358.54 ,1352.98 ,1391.15 ,1307.23 ,93.69K,0.31%
2018-02-14,1354.32 ,1224.95 ,1376.18 ,1224.55 ,98.23K,10.58%
2018-02-13,1224.71 ,1282.56 ,1285.96 ,1204.43 ,59.05K,-4.51%
2018-02-12,1282.60 ,1213.13 ,1294.69 ,1212.33 ,54.48K,5.73%
2018-02-11,1213.09 ,1241.76 ,1298.52 ,1190.50 ,85.32K,-2.31%
2018-02-10,1241.77 ,1300.57 ,1381.73 ,1199.80 ,104.96K,-4.53%
2018-02-09,1300.63 ,1269.98 ,1338.34 ,1184.49 ,120.76K,2.54%
2018-02-08,1268.44 ,954.99 ,1338.04 ,952.32 ,235.43K,32.87%
2018-02-07,954.67 ,965.94 ,1033.36 ,896.52 ,126.68K,-1.20%
2018-02-06,966.26 ,884.13 ,976.07 ,762.32 ,230.29K,9.30%
2018-02-05,884.05 ,1160.97 ,1177.41 ,829.95 ,152.80K,-23.79%
2018-02-04,1160.02 ,1275.67 ,1293.59 ,1099.85 ,78.79K,-9.05%
2018-02-03,1275.42 ,1195.05 ,1318.13 ,1073.40 ,74.15K,6.77%
2018-02-02,1194.58 ,1273.83 ,1277.56 ,979.03 ,168.46K,-6.39%
2018-02-01,1276.07 ,1492.10 ,1505.21 ,1214.97 ,114.75K,-14.48%
2018-01-31,1492.09 ,1472.17 ,1522.96 ,1405.53 ,72.83K,1.35%
2018-01-30,1472.19 ,1657.30 ,1658.37 ,1461.00 ,75.66K,-11.18%
2018-01-29,1657.53 ,1749.08 ,1761.81 ,1638.64 ,47.32K,-5.23%
2018-01-28,1749.09 ,1636.39 ,1762.65 ,1636.39 ,81.25K,6.89%
2018-01-27,1636.39 ,1600.09 ,1667.18 ,1566.08 ,47.95K,2.27%
2018-01-26,1600.09 ,1639.46 ,1678.58 ,1494.03 ,75.09K,-1.67%
2018-01-25,1627.30 ,1651.70 ,1700.00 ,1600.10 ,51.70K,-1.61%
2018-01-24,1654.00 ,1611.10 ,1680.00 ,1552.60 ,71.76K,2.50%
2018-01-23,1613.70 ,1604.70 ,1693.90 ,1480.10 ,109.15K,0.56%
2018-01-22,1604.70 ,1769.50 ,1806.60 ,1504.40 ,124.14K,-9.29%
2018-01-21,1769.00 ,2013.70 ,2019.70 ,1700.00 ,123.77K,-11.99%
2018-01-20,2010.10 ,1748.60 ,2109.90 ,1742.10 ,141.70K,14.93%
2018-01-19,1749.00 ,1685.10 ,1847.60 ,1668.90 ,91.09K,3.75%
2018-01-18,1685.80 ,1739.70 ,1873.50 ,1656.00 ,140.95K,-3.10%
2018-01-17,1739.70 ,1712.90 ,1852.00 ,1345.60 ,299.70K,0.90%
2018-01-16,1724.20 ,2383.70 ,2400.10 ,1512.10 ,459.31K,-27.67%
2018-01-15,2383.70 ,2518.60 ,2554.00 ,2333.20 ,109.22K,-5.42%
